Enugu,Enugu,Fraud,2022-06-06,sahara,"Enugu, Enugu North, Enugu, 400102, Nigeria",7.5000007,6.4499833
Anambra,Ogbaru,Others crimes,2023-05-19,guardian,"Ogbaru, Anambra, Nigeria",6.76099690724087,5.9212864
Enugu,Udi,,2022-06-03,sahara,"Udi, Enugu, Nigeria",7.397846,6.3227337
Anambra,Ogbaru,Terrorism,2023-05-18,guardian,"Ogbaru, Anambra, Nigeria",6.76099690724087,5.9212864
Enugu,Nsukka,Abduction,2023-06-25,dailytrust,"Nsukka, Enugu, 410001, Nigeria",7.3927,6.8561
Zamfara,Gusau,Fraud,2023-05-18,guardian,"Gusau, Zamfara, Nigeria",6.6606398,12.1658358
Imo,Ehime Mbano,Fraud,2022-06-13,sahara,"Ehime Mbano, Imo, Nigeria",7.300181361809889,5.6882541
Lagos,Badagry,Violence,2023-06-26,dailytrust,"Badagry, Lagos, Nigeria",2.9060324070376966,6.43932225
Zamfara,Gusau,Others crimes,2023-05-16,guardian,"Gusau, Zamfara, Nigeria",6.6606398,12.1658358
Imo,Imo,Fraud,2022-06-09,sahara,"Sam Mbakwe International Cargo Airport, F106, Enyiogugu, Aboh-Mbaise, Imo, 462103, Nigeria",7.204520853248672,5.42797015
Kano,Kano,,2022-06-23,sahara,"Kano, Yakasai, Kano Municipal, Kano, 700271, Nigeria",8.5303654,11.9918671
Bayelsa,Yenagoa,Abduction,2023-06-20,dailytrust,"Yenegoa, Bayelsa, Nigeria",6.2747786,4.9334651
Anambra,Anambra,Fraud,2023-05-12,guardian,"Anambra, Otuocha, Anambra East, Anambra, Nigeria",6.7968582,6.2527902
Kano,Kano,Others crimes,2022-06-09,sahara,"Kano, Yakasai, Kano Municipal, Kano, 700271, Nigeria",8.5303654,11.9918671
Benue,Oju,Others crimes,2023-06-19,dailytrust,"Oju, Benue, Nigeria",8.3636441817853,6.8701551
Kwara,Moro,Violence,2022-06-02,sahara,"Moro, Kwara, Nigeria",4.515472249381954,8.8535638
Anambra,Anambra,Fraud,2023-05-11,guardian,"Anambra, Otuocha, Anambra East, Anambra, Nigeria",6.7968582,6.2527902
Lagos,Epe,Others crimes,2022-06-15,sahara,"Epe, Lagos, Nigeria",3.9753453,6.5858219
Benue,Makurdi,Sexual abuse,2023-06-16,dailytrust,"Markurdi, Benue, Nigeria",8.538425,7.7312634
Anambra,Anambra,Fraud,2023-05-11,guardian,"Anambra, Otuocha, Anambra East, Anambra, Nigeria",6.7968582,6.2527902
Lagos,Lagos,Abduction,2022-06-11,sahara,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Edo,Edo,Abduction,2023-06-16,dailytrust,"Akoko-Edo, Edo, Nigeria",6.125235110308745,7.352393599999999
Lagos,Epe,Fraud,2022-06-09,sahara,"Epe, Lagos, Nigeria",3.9753453,6.5858219
Kwara,Kwara,Violence,2023-06-16,dailytrust,"Kwara, Nigeria",4.6688487,8.8367891
Kaduna,Ikara,Abduction,2023-05-10,guardian,"Ikara, Kaduna, Nigeria",8.2231659,11.176471
Lagos,Lagos,Others crimes,2022-06-09,sahara,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Lagos,Lagos,Others crimes,2022-06-02,sahara,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Delta,Uvwie,Robbery,2023-05-09,guardian,"Uvwie, Delta, 330102, Nigeria",5.793784028700437,5.56435905
Oyo,Ibadan,Robbery,2022-06-20,sahara,"Ìbàdàn, Ibadan South West, Oyo, 234102, Nigeria",3.8972497,7.3777462
Niger,Bosso,Others crimes,2022-06-24,sahara,"Bosso, Niger, Nigeria",6.346671569878886,9.60090825
Kogi,Kogi,Abduction,2023-05-08,guardian,"Kogi, Nigeria",6.855609504313039,8.1270318
Adamawa,Adamawa,Others crimes,2023-05-06,guardian,"Adamawa, Nigeria",12.3881887,9.5129772
Abuja,Kuje,Abduction,2022-05-30,sahara,"Kuje, Federal Capital Territory, 903101, Nigeria",7.2272022,8.8796312
Abia,Abia,Drug trafficking,2022-05-15,sahara,"Abia, Nigeria",7.5153071,5.4540953
Kogi,Lokoja,Fraud,2023-04-27,guardian,"Lokoja, Kogi, 260101, Nigeria",6.7430327,7.802355
Abia,Abia,Others crimes,2022-05-06,sahara,"Abia, Nigeria",7.5153071,5.4540953
Adamawa,Madagali,,2022-04-27,sahara,"Madagali, Adamawa, Nigeria",13.488551266407342,10.786603
Benue,Benue,Drug trafficking,2022-05-22,sahara,"Benue, Markurdi, Benue, Nigeria",8.448431482654623,7.76345975
Benue,Ado,Fraud,2022-05-09,sahara,"Ado, Benue, Nigeria",8.061362696739234,6.780125849999999
Enugu,Enugu,Others crimes,2023-04-07,guardian,"Enugu, Enugu North, Enugu, 400102, Nigeria",7.5000007,6.4499833
Cross River,Calabar,Robbery,2022-04-29,sahara,"Calabar, Calabar Municipal, Cross River, 540221, Nigeria",8.3373597,4.9795999
Kwara,Asa,Violence,2023-04-08,guardian,"Asa, Kwara, 240104, Nigeria",4.442381499804297,8.41326505
Osun,Ila,Violence,2023-04-08,guardian,"Ila, Ilesha West, Osun, Nigeria",4.666667,7.666667
Delta,Delta,Others crimes,2022-05-24,sahara,"Delta Boat Yard, Ugbori, Warri South, Delta, Nigeria",5.737626972362554,5.5147462
Oyo,Oyo,Violence,2023-04-08,guardian,"Ọ̀yọ́, Oyo West, Oyo, Nigeria",3.9315363,7.8410537
Edo,Edo,Robbery,2022-05-09,sahara,"Akoko-Edo, Edo, Nigeria",6.125235110308745,7.352393599999999
Abuja,Abuja,Fraud,2023-04-05,guardian,"Abuja, Municipal Area Council, Federal Capital Territory, 223140, Nigeria",7.4892974,9.0643305
Enugu,Enugu,Fraud,2022-05-22,sahara,"Enugu, Enugu North, Enugu, 400102, Nigeria",7.5000007,6.4499833
Imo,Imo,Terrorism,2023-04-06,guardian,"Sam Mbakwe International Cargo Airport, F106, Enyiogugu, Aboh-Mbaise, Imo, 462103, Nigeria",7.204520853248672,5.42797015
Kaduna,Kaduna,Drug trafficking,2022-05-15,sahara,"Kaduna, Kabala, Kaduna North, Kaduna, 800211, Nigeria",7.4359863,10.5182899
Kano,Kano,Others crimes,2022-05-10,sahara,"Kano, Yakasai, Kano Municipal, Kano, 700271, Nigeria",8.5303654,11.9918671
Kaduna,Kaduna South,Others crimes,2023-03-30,guardian,"Kaduna South, Kaduna, Nigeria",7.40216608021902,10.4984878
Kano,Kano,Terrorism,2022-05-09,sahara,"Kano, Yakasai, Kano Municipal, Kano, 700271, Nigeria",8.5303654,11.9918671
Lagos,Lagos,Sexual abuse,2023-03-29,guardian,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Kwara,Asa,Violence,2022-05-02,sahara,"Asa, Kwara, 240104, Nigeria",4.442381499804297,8.41326505
Lagos,Apapa,Violence,2023-03-27,guardian,"Apapa, Lagos, Nigeria",3.3683731679424094,6.445187000000001
Lagos,Lagos,Others crimes,2022-05-23,sahara,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Lagos,Ikeja,Drug trafficking,2022-05-15,sahara,"Ikeja, Lagos, Nigeria",3.340787,6.5960605
Ogun,Ogun,Violence,2022-05-20,sahara,"Ogun, Nigeria",3.5004784,7.3894478
Enugu,Enugu East,Others crimes,2023-03-15,guardian,"Enugu East, Enugu, Nigeria",7.556835903397333,6.548344500000001
Ondo,Ondo,Drug trafficking,2022-05-29,sahara,"Ondo, Ondo West, Ondo, Nigeria",4.833333,7.1
Taraba,Ibi,Abduction,2022-05-30,sahara,"Ibi, Taraba, Nigeria",9.7472789,8.182155
Yobe,Damaturu,Sexual abuse,2022-05-02,sahara,"Damaturu, Bindigari Pawari, Ngelzarma, Yobe, Nigeria",11.9608,11.747
Enugu,Enugu East,Others crimes,2023-02-26,guardian,"Enugu East, Enugu, Nigeria",7.556835903397333,6.548344500000001
Adamawa,Mubi North,Sexual abuse,2022-04-01,sahara,"Mubi North, Adamawa, Nigeria",13.321450130328785,10.2801221
Kogi,Lokoja,Fraud,2023-02-23,guardian,"Lokoja, Kogi, 260101, Nigeria",6.7430327,7.802355
Delta,Patani,Sexual abuse,2022-04-21,sahara,"Patani, Delta, Nigeria",6.1921572,5.2281298
Delta,Delta,Violence,2022-04-11,sahara,"Delta Boat Yard, Ugbori, Warri South, Delta, Nigeria",5.737626972362554,5.5147462
Sokoto,Sokoto,Drug trafficking,2023-02-19,guardian,"Sokoto, Sarkin Addar B, Sokoto South, Sokoto, Nigeria",5.2373194,13.0610588
Ekiti,Efon,Terrorism,2022-04-07,sahara,"Efon, Ekiti, Nigeria",4.934886763006355,7.68364815
Niger,Niger,Others crimes,2023-02-20,guardian,"Le Niger, Chulu Gumbi, Yauri, Kebbi, Nigeria",4.6806854,10.6116505
Lagos,Ikeja,Drug trafficking,2022-03-30,sahara,"Ikeja, Lagos, Nigeria",3.340787,6.5960605
Lagos,Lagos Island,Others crimes,2022-03-22,sahara,"Lagos Island, Falomo, Eti Osa, Lagos, Nigeria",3.416466825830611,6.4536545499999995
Delta,Udu,Others crimes,2023-02-15,guardian,"Udu, Delta, Nigeria",5.821686039389325,5.47735195
Ondo,Akoko,Abduction,2022-03-22,sahara,"Akoko South East, Ondo, Nigeria",5.905060679828727,7.42249085
Ebonyi,Ebonyi,Terrorism,2023-02-05,guardian,"Ebonyi, Nigeria",8.133139120996997,6.5335734
Niger,Borgu,Others crimes,2023-02-06,guardian,"Borgu, Niger, Nigeria",4.092020592490975,10.1967653
Abuja,Abuja,Abduction,2022-03-14,sahara,"Abuja, Municipal Area Council, Federal Capital Territory, 223140, Nigeria",7.4892974,9.0643305
Abuja,Abaji,Robbery,2022-03-07,sahara,"Abaji, Federal Capital Territory, Nigeria",6.9440179,8.4737831
Lagos,Ikorodu,Others crimes,2023-01-22,guardian,"Ìkòròdú, Lagos, Nigeria",3.5041271,6.6191233
Anambra,Awka North,Violence,2022-02-26,sahara,"Awka North, Anambra, Nigeria",7.058343655240461,6.34178755
Kaduna,Kaura,Others crimes,2023-01-21,guardian,"Kaura, Kaduna, Nigeria",8.451618841990786,9.64241625
Edo,Esan North-East,Robbery,2022-02-26,sahara,"Esan North-East, Edo, Nigeria",6.433488407005409,6.7867315
Lagos,Lagos,Robbery,2022-03-14,sahara,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Kano,Kura,,2023-01-20,guardian,"Kura, Kano, Nigeria",8.474385714057192,11.77914325
Lagos,Ojo,Fraud,2022-03-11,sahara,"Ojo, Lagos, Nigeria",3.165706414364106,6.46249745
Lagos,Lagos Island,Drug trafficking,2022-02-26,sahara,"Lagos Island, Falomo, Eti Osa, Lagos, Nigeria",3.416466825830611,6.4536545499999995
Anambra,Anambra,Others crimes,2023-01-18,guardian,"Anambra, Otuocha, Anambra East, Anambra, Nigeria",6.7968582,6.2527902
Lagos,Lagos Island,Drug trafficking,2022-02-26,sahara,"Lagos Island, Falomo, Eti Osa, Lagos, Nigeria",3.416466825830611,6.4536545499999995
Ondo,Ose,Fraud,2022-02-26,sahara,"Ose, Ondo, Nigeria",5.72865134362812,7.05101395
Lagos,Lagos,Violence,2023-01-11,guardian,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Osun,Oriade,Violence,2022-03-12,sahara,"Oriade, Osun, Nigeria",4.867413075401172,7.5530772
Oyo,Ibadan,Abduction,2022-03-10,sahara,"Ìbàdàn, Ibadan South West, Oyo, 234102, Nigeria",3.8972497,7.3777462
Edo,Igueben,Terrorism,2023-01-09,guardian,"Igueben, Iguegben, Edo, Nigeria",6.242448,6.6018648
Taraba,Jalingo,Drug trafficking,2022-03-09,sahara,"Jalingo, Taraba, Nigeria",11.3644261,8.8945377
Edo,Egor,Terrorism,2023-01-09,guardian,"Egor, Edo, Nigeria",5.5697908,6.3811156
Adamawa,Adamawa,Sexual abuse,2022-02-17,sahara,"Adamawa, Nigeria",12.3881887,9.5129772
Plateau,Jos South,Abduction,2023-01-08,guardian,"Jos South, Plateau, 930101, Nigeria",8.848780461155847,9.7587528
Adamawa,Yola South,Sexual abuse,2022-02-14,sahara,"Yola South, Adamawa, Nigeria",12.408212476465668,9.2581806
Ekiti,Moba,Abduction,2023-01-06,guardian,"Moba, Ekiti, Nigeria",5.131157961258554,7.99288365
Benue,Gboko,,2022-02-17,sahara,"Gboko, Benue, Nigeria",8.871322377025628,7.37784815
Ogun,Abeokuta,Others crimes,2023-01-03,guardian,"Abẹ́òkúta, Abeokuta South, Ogun, 111101, Nigeria",3.3467344,7.1547129
Delta,Ughelli North,Sexual abuse,2022-02-17,sahara,"Ughelli North, Delta, Nigeria",6.01752592725169,5.486883649999999
Lagos,Ikeja,Drug trafficking,2022-02-21,sahara,"Ikeja, Lagos, Nigeria",3.340787,6.5960605
Edo,Edo,Others crimes,2023-01-02,guardian,"Akoko-Edo, Edo, Nigeria",6.125235110308745,7.352393599999999
Lagos,Ikeja,Others crimes,2022-02-15,sahara,"Ikeja, Lagos, Nigeria",3.340787,6.5960605
Lagos,Epe,Sexual abuse,2022-12-31,guardian,"Epe, Lagos, Nigeria",3.9753453,6.5858219
Lagos,Lagos,Others crimes,2022-02-14,sahara,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Niger,Niger,Others crimes,2022-12-28,guardian,"Le Niger, Chulu Gumbi, Yauri, Kebbi, Nigeria",4.6806854,10.6116505
Ogun,Ifo,Others crimes,2022-02-19,sahara,"Ifo, Ogun, Nigeria",3.24155742988109,6.75629735
Ogun,Abeokuta,Others crimes,2022-02-16,sahara,"Abẹ́òkúta, Abeokuta South, Ogun, 111101, Nigeria",3.3467344,7.1547129
Ogun,Ogun,Others crimes,2022-12-23,guardian,"Ogun, Nigeria",3.5004784,7.3894478
Osun,Ife,Others crimes,2022-12-23,guardian,"Ifẹ̀, Ife Central, Osun, 220282, Nigeria",4.5604451,7.482824
Ogun,Abeokuta,Others crimes,2022-02-12,sahara,"Abẹ́òkúta, Abeokuta South, Ogun, 111101, Nigeria",3.3467344,7.1547129
Zamfara,Gusau,Terrorism,2022-02-17,sahara,"Gusau, Zamfara, Nigeria",6.6606398,12.1658358
Edo,Edo,Violence,2022-12-22,guardian,"Akoko-Edo, Edo, Nigeria",6.125235110308745,7.352393599999999
Edo,Edo,Others crimes,2022-12-19,guardian,"Akoko-Edo, Edo, Nigeria",6.125235110308745,7.352393599999999
Adamawa,Mubi,Drug trafficking,2022-01-30,sahara,"Mubi, Mubi North, Adamawa, Nigeria",13.264359,10.267607
Kogi,Kogi,Violence,2022-12-22,guardian,"Kogi, Nigeria",6.855609504313039,8.1270318
Kogi,Kogi,Fraud,2022-12-19,guardian,"Kogi, Nigeria",6.855609504313039,8.1270318
Adamawa,Maiha,Others crimes,2022-01-30,sahara,"Maiha, Adamawa, Nigeria",13.1836033,10.0619115
Kwara,Ekiti,Violence,2022-12-22,guardian,"Ekiti, Kwara, Nigeria",5.343855910217266,8.11201715
Anambra,Anambra,Abduction,2022-12-10,guardian,"Anambra, Otuocha, Anambra East, Anambra, Nigeria",6.7968582,6.2527902
Delta,Delta,Terrorism,2022-12-12,guardian,"Delta Boat Yard, Ugbori, Warri South, Delta, Nigeria",5.737626972362554,5.5147462
Lagos,Lagos,Others crimes,2022-12-10,guardian,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Niger,Niger,Terrorism,2022-12-12,guardian,"Le Niger, Chulu Gumbi, Yauri, Kebbi, Nigeria",4.6806854,10.6116505
Lagos,Lagos,Others crimes,2022-12-03,guardian,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
